Number: 901	hong kong econom singapor 
Number: 903 Q0 NYT19991230.0346 17 0.015650785631889624 MYRUN
Number: 903 Q0 XIE19960513.0120 18 0.015499450492529881 MYRUN
Number: 903 Q0 XIE19960725.0079 19 0.0154798309349444 MYRUN
Number: 903 Q0 XIE19970401.0120 20 0.01540338331770381 MYRUN
Number: 904	progress dysphagia 
Number: 904 Q0 XIE19971005.0163 1 0.017253288910055932 MYRUN
Number: 904 Q0 XIE19970903.0223 2 0.012460993722949813 MYRUN
Number: 904 Q0 XIE19960624.0097 3 0.011955108646399024 MYRUN
Number: 904 Q0 NYT19990720.0416 4 0.011575306804146163 MYRUN
Number: 904 Q0 NYT20000227.0190 5 0.010878996119179134 MYRUN
Number: 904 Q0 XIE19960125.0130 6 0.010848573872475144 MYRUN
Number: 904 Q0 XIE19970930.0136 7 0.010833920238248477 MYRUN
Number: 904 Q0 XIE19960805.0145 8 0.010829044486566098 MYRUN
Number: 904 Q0 XIE19960906.0131 9 0.010790195896479763 MYRUN
Number: 904 Q0 XIE19971215.0105 10 0.010760584991391358 MYRUN
Number: 904 Q0 XIE19960627.0128 11 0.010694352420660594 MYRUN
Number: 904 Q0 XIE19971220.0037 12 0.010521266659007378 MYRUN
Number: 904 Q0 XIE19971205.0117 13 0.010508926148850753 MYRUN
Number: 904 Q0 XIE19971222.0106 14 0.010416521522441994 MYRUN
Number: 904 Q0 XIE19971118.0184 15 0.010411579447451566 MYRUN
Number: 904 Q0 XIE19970224.0089 16 0.010399894991679915 MYRUN
Number: 904 Q0 NYT19991230.0346 17 0.010351972053174084 MYRUN
Number: 904 Q0 XIE19960513.0120 18 0.010165668292838981 MYRUN
Number: 904 Q0 XIE19960725.0079 19 0.010152800358291084 MYRUN
Number: 904 Q0 XIE19961029.0067 20 0.010097413700860206 MYRUN


4 queries search time: 2.1526 min
